onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
94.198	n/a	47099	surroundSuppB2_start	97	n/a	n/a	n/a
95.882	n/a	47941	fixpoint_ON	4	n/a	n/a	n/a
96.506	2.4	48253	stim_ON	8	1	1	3
101.838	n/a	50919	fixpoint_ON	4	n/a	n/a	n/a
102.354	2.4	51177	stim_ON	8	1	0.6	1
107.668	n/a	53834	fixpoint_ON	4	n/a	n/a	n/a
108.186	2.4	54093	stim_ON	8	1	0.3	2
113.508	n/a	56754	fixpoint_ON	4	n/a	n/a	n/a
114.024	2.4	57012	stim_ON	8	1	0	3
119.338	n/a	59669	fixpoint_ON	4	n/a	n/a	n/a
119.854	2.4	59927	stim_ON	8	1	0	2
125.17	n/a	62585	fixpoint_ON	4	n/a	n/a	n/a
125.686	2.4	62843	stim_ON	8	1	0.3	1
131.01	n/a	65505	fixpoint_ON	4	n/a	n/a	n/a
131.528	2.4	65764	stim_ON	8	1	0.6	3
136.84	n/a	68420	fixpoint_ON	4	n/a	n/a	n/a
137.356	2.4	68678	stim_ON	8	1	1	2
142.67	n/a	71335	fixpoint_ON	4	n/a	n/a	n/a
143.186	2.4	71593	stim_ON	8	1	1	3
148.5	n/a	74250	fixpoint_ON	4	n/a	n/a	n/a
149.02	2.4	74510	stim_ON	8	1	0.6	1
154.34	n/a	77170	fixpoint_ON	4	n/a	n/a	n/a
154.856	2.4	77428	stim_ON	8	1	0.3	2
160.18	n/a	80090	fixpoint_ON	4	n/a	n/a	n/a
160.696	2.4	80348	stim_ON	8	1	0	3
166.01	n/a	83005	fixpoint_ON	4	n/a	n/a	n/a
166.526	2.4	83263	stim_ON	8	0	1	1
171.84	n/a	85920	fixpoint_ON	4	n/a	n/a	n/a
172.356	2.4	86178	stim_ON	8	0	0.6	2
177.67	n/a	88835	fixpoint_ON	4	n/a	n/a	n/a
178.186	2.4	89093	stim_ON	8	0	0.3	3
183.51	n/a	91755	fixpoint_ON	4	n/a	n/a	n/a
184.024	2.4	92012	stim_ON	8	0	0	1
189.35	n/a	94675	fixpoint_ON	4	n/a	n/a	n/a
189.87	2.4	94935	stim_ON	8	1	1	3
195.19	n/a	97595	fixpoint_ON	4	n/a	n/a	n/a
195.706	2.4	97853	stim_ON	8	1	0.6	2
201.02	n/a	100510	fixpoint_ON	4	n/a	n/a	n/a
201.536	2.4	100768	stim_ON	8	1	0.3	1
206.87	n/a	103435	fixpoint_ON	4	n/a	n/a	n/a
207.384	2.4	103692	stim_ON	8	1	0	3
212.72	n/a	106360	fixpoint_ON	4	n/a	n/a	n/a
213.236	2.4	106618	stim_ON	8	1	0	3
218.56	n/a	109280	fixpoint_ON	4	n/a	n/a	n/a
219.076	2.4	109538	stim_ON	8	1	0.3	1
224.39	n/a	112195	fixpoint_ON	4	n/a	n/a	n/a
224.906	2.4	112453	stim_ON	8	1	0.6	2
230.22	n/a	115110	fixpoint_ON	4	n/a	n/a	n/a
230.736	2.4	115368	stim_ON	8	1	1	3
236.05	n/a	118025	fixpoint_ON	4	n/a	n/a	n/a
236.566	2.4	118283	stim_ON	8	1	0	1
